HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,TotalGoals,FTRodds_feedback,Goalsodds_feedback,Day,Month,Year,Day_of_week
Sp Lisbon,Farense,3,2,H,1.13,8.5,21.0,1.13,8.75,17.5,1.13,11.0,23.0,1.12,9.09,19.31,1.36,3.1,3.29,1.37,3.11,1.34,5.0,True,True,3,3,2024,6
Arouca,Sp Lisbon,0,3,A,8.0,4.75,1.4,7.0,5.0,1.38,8.0,5.2,1.42,7.56,4.93,1.39,1.6,2.3,2.41,1.64,2.33,1.6,3.0,True,True,10,3,2024,6
Sp Lisbon,Boavista,6,1,H,1.14,8.0,17.0,1.14,8.5,16.0,1.15,9.7,21.0,1.13,8.59,18.2,1.4,2.88,2.98,1.45,2.87,1.41,7.0,True,True,17,3,2024,6
Estrela,Sp Lisbon,1,2,A,13.0,7.0,1.2,11.0,6.0,1.25,14.0,7.0,1.25,11.93,6.23,1.24,1.53,2.4,2.52,1.59,2.43,1.56,3.0,True,True,29,3,2024,4
Sp Lisbon,Benfica,2,1,H,1.95,3.75,3.75,1.93,3.7,3.5,2.02,3.85,3.75,1.97,3.74,3.6,1.67,2.15,2.26,1.74,2.19,1.68,3.0,True,True,6,4,2024,5
Gil Vicente,Sp Lisbon,0,4,A,11.0,6.0,1.25,9.75,5.5,1.28,14.0,6.0,1.29,11.23,5.81,1.26,1.6,2.3,2.38,1.67,2.3,1.61,4.0,True,True,12,4,2024,4
Famalicao,Sp Lisbon,0,1,A,9.0,5.75,1.3,8.25,5.5,1.31,11.0,6.0,1.33,9.32,5.66,1.3,1.44,2.7,2.8,1.57,2.64,1.47,1.0,True,False,16,4,2024,1
Sp Lisbon,Guimaraes,3,0,H,1.3,5.5,10.0,1.29,5.5,9.0,1.3,6.2,11.0,1.28,5.66,9.8,1.57,2.35,2.5,1.62,2.37,1.57,3.0,True,True,21,4,2024,6
Porto,Sp Lisbon,2,2,D,2.63,3.3,2.7,2.45,3.4,2.65,2.67,3.5,2.76,2.58,3.39,2.66,1.83,2.03,2.07,1.88,1.98,1.82,4.0,False,True,28,4,2024,6
Sp Lisbon,Portimonense,3,0,H,1.08,13.0,19.0,1.08,12.0,23.0,1.08,15.0,29.0,1.07,12.55,25.03,1.25,4.0,4.42,1.25,4.03,1.23,3.0,True,True,4,5,2024,5
Estoril,Sp Lisbon,0,1,A,6.0,5.0,1.44,6.25,4.75,1.44,7.0,5.0,1.46,6.49,4.88,1.43,1.53,2.4,2.6,1.56,2.48,1.52,1.0,True,False,11,5,2024,5
Sp Lisbon,Chaves,3,0,H,1.07,11.0,23.0,1.08,12.0,26.0,1.09,17.0,34.0,1.07,12.55,25.82,1.25,4.0,4.3,1.27,3.97,1.23,3.0,True,True,18,5,2024,5
Sp Lisbon,Rio Ave,3,1,H,1.17,8.0,13.0,1.16,7.75,14.5,1.18,8.8,18.0,1.16,7.79,15.44,1.44,2.7,2.88,1.49,2.74,1.44,4.0,True,True,9,8,2024,4
Nacional,Sp Lisbon,1,6,A,10.0,6.0,1.25,10.5,6.0,1.25,12.0,6.7,1.27,10.74,6.03,1.25,1.57,2.35,2.45,1.62,2.37,1.57,7.0,True,True,17,8,2024,5
Farense,Sp Lisbon,0,5,A,10.0,8.0,1.2,11.5,7.25,1.19,15.0,8.3,1.21,12.84,7.49,1.19,1.36,3.1,3.17,1.41,3.03,1.37,5.0,True,True,23,8,2024,4
Sp Lisbon,Porto,2,0,H,1.75,3.8,4.33,1.78,3.75,4.1,1.84,3.96,4.75,1.78,3.76,4.37,1.7,2.1,2.24,1.76,2.14,1.71,2.0,True,False,31,8,2024,5
Arouca,Sp Lisbon,0,3,A,13.0,6.0,1.22,11.5,6.75,1.21,13.02,7.6,1.26,12.11,6.7,1.21,1.44,2.7,2.86,1.48,2.72,1.45,3.0,True,True,13,9,2024,4
Sp Lisbon,AVS,3,0,H,1.07,12.0,23.0,1.08,11.0,26.0,1.09,15.0,34.0,1.07,11.72,25.98,1.3,3.5,3.5,1.36,3.32,1.31,3.0,True,True,22,9,2024,6
Estoril,Sp Lisbon,0,3,A,13.0,7.5,1.17,14.5,7.5,1.17,18.0,8.5,1.19,14.79,7.74,1.17,1.4,2.88,3.1,1.45,2.87,1.4,3.0,True,True,27,9,2024,4
Sp Lisbon,Casa Pia,2,0,H,1.13,10.0,13.0,1.13,9.0,17.5,1.14,10.0,23.0,1.12,9.04,19.17,1.4,2.88,3.0,1.45,2.89,1.4,2.0,True,False,5,10,2024,5
Famalicao,Sp Lisbon,0,3,A,7.0,5.5,1.36,8.25,4.8,1.36,9.7,5.5,1.38,8.69,4.96,1.35,1.75,2.05,2.09,1.83,2.03,1.78,3.0,True,True,26,10,2024,5
Sp Lisbon,Estrela,5,1,H,1.08,11.0,19.0,1.09,11.0,23.0,1.11,13.0,36.0,1.08,11.16,26.6,1.3,3.5,3.56,1.35,3.4,1.3,6.0,True,True,1,11,2024,4
Sp Braga,Sp Lisbon,2,4,A,5.25,4.2,1.57,4.8,4.1,1.6,5.6,4.4,1.63,5.25,4.22,1.58,1.57,2.35,2.43,1.63,2.34,1.59,6.0,True,True,10,11,2024,6
Sp Lisbon,Santa Clara,0,1,A,1.17,6.5,17.0,1.17,7.25,15.0,1.2,9.0,19.5,1.16,7.43,16.32,1.65,2.2,2.34,1.67,2.25,1.62,1.0,False,False,30,11,2024,5
Moreirense,Sp Lisbon,2,1,H,8.5,4.75,1.36,7.5,5.0,1.36,9.0,5.5,1.37,8.44,5.02,1.34,1.73,2.08,2.13,1.8,2.07,1.74,3.0,False,True,5,12,2024,3
Sp Lisbon,Boavista,3,2,H,1.08,10.0,23.0,1.1,11.5,18.5,1.1,14.0,41.0,1.08,11.3,22.96,1.25,4.0,4.2,1.25,3.88,1.23,5.0,True,True,14,12,2024,5
Gil Vicente,Sp Lisbon,0,0,D,7.0,5.25,1.38,7.5,5.0,1.37,9.0,5.41,1.38,7.66,5.1,1.35,1.53,2.4,2.55,1.56,2.45,1.51,0.0,False,False,22,12,2024,6
Sp Lisbon,Benfica,1,0,H,2.5,3.6,2.6,2.45,3.6,2.55,2.6,3.66,2.75,2.5,3.57,2.59,1.67,2.15,2.25,1.7,2.16,1.66,1.0,True,False,29,12,2024,6
Guimaraes,Sp Lisbon,4,4,D,3.8,3.5,1.95,3.7,3.4,1.95,4.07,3.61,2.01,3.78,3.48,1.96,1.95,1.9,1.92,1.99,1.85,1.93,8.0,False,False,3,1,2025,4
Rio Ave,Sp Lisbon,0,3,A,9.5,5.5,1.3,8.75,5.5,1.29,10.5,6.4,1.3,9.24,5.69,1.28,1.53,2.4,2.63,1.54,2.47,1.51,3.0,True,True,18,1,2025,5
Sp Lisbon,Nacional,2,0,H,1.14,9.5,12.0,1.15,8.25,15.5,1.15,9.58,20.0,1.13,8.71,15.83,1.37,2.87,3.4,1.39,2.95,1.36,2.0,True,False,25,1,2025,5
Sp Lisbon,Farense,3,1,H,1.14,8.0,17.0,1.14,8.5,17.0,1.14,9.63,26.0,1.12,8.53,18.26,1.44,2.7,2.86,1.47,2.75,1.41,4.0,True,True,2,2,2025,6
Porto,Sp Lisbon,1,1,D,2.8,3.1,2.55,2.8,3.1,2.55,3.02,3.2,2.69,2.87,3.06,2.6,2.15,1.67,1.74,2.29,1.66,2.21,2.0,False,True,7,2,2025,4
