HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,TotalGoals,FTRodds_feedback,Goalsodds_feedback,Day,Month,Year,Day_of_week
Sp Braga,Sp Lisbon,0,1,A,2.6,3.0,2.9,2.55,3.1,3.0,2.66,3.34,3.0,2.57,3.11,2.82,2.1,1.7,1.8,2.19,1.71,2.11,1.0,False,True,25,4,2021,6
Sp Lisbon,Nacional,2,0,H,1.25,5.0,10.0,1.28,5.5,11.5,1.33,5.76,13.18,1.28,5.29,10.92,1.8,2.0,2.08,1.88,1.99,1.81,2.0,True,False,1,5,2021,5
Rio Ave,Sp Lisbon,0,2,A,5.0,3.6,1.7,5.0,3.6,1.75,5.41,3.69,1.82,5.0,3.48,1.75,2.2,1.65,1.71,2.31,1.66,2.2,2.0,True,True,5,5,2021,2
Sp Lisbon,Boavista,1,0,H,1.28,5.0,12.0,1.33,5.0,10.5,1.33,5.89,12.25,1.29,5.36,10.62,1.72,2.07,2.16,1.83,2.08,1.75,1.0,True,False,11,5,2021,1
Benfica,Sp Lisbon,4,3,H,1.9,3.5,3.9,1.95,3.5,4.0,2.05,3.72,4.35,1.94,3.48,3.92,2.1,1.7,1.82,2.25,1.73,2.11,7.0,True,False,15,5,2021,5
Sp Lisbon,Vizela,3,0,H,1.28,5.5,11.0,1.25,5.5,11.0,1.33,6.2,13.0,1.27,5.51,10.97,1.72,2.07,2.16,1.81,2.08,1.75,3.0,True,True,6,8,2021,4
Sp Braga,Sp Lisbon,1,2,A,3.2,3.4,2.15,3.5,3.25,2.2,3.63,3.45,2.34,3.36,3.2,2.23,2.05,1.75,1.83,2.14,1.76,2.07,3.0,True,False,14,8,2021,5
Sp Lisbon,Belenenses,2,0,H,1.16,6.5,15.0,1.2,6.75,15.5,1.21,7.14,21.0,1.18,6.53,16.7,1.7,2.1,2.25,1.78,2.17,1.68,2.0,True,False,21,8,2021,5
Famalicao,Sp Lisbon,1,1,D,6.5,4.5,1.45,7.25,4.1,1.5,7.5,4.5,1.52,6.71,4.23,1.48,1.8,2.0,2.13,1.91,1.99,1.83,2.0,False,False,28,8,2021,5
Sp Lisbon,Porto,1,1,D,2.6,3.2,2.7,2.6,3.1,2.7,2.77,3.32,2.98,2.57,3.16,2.82,2.07,1.72,1.82,2.18,1.73,2.11,2.0,False,True,11,9,2021,5
