HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
2.0,99.0,1,0,0,3.3,3.6,2.1,3.4,3.7,2.05,3.55,3.84,2.17,3.41,3.66,2.11,1.7,2.1,2.21,1.79,2.15,1.72,5,9,12,5,
99.0,5.0,2,0,0,1.44,5.0,6.0,1.47,4.6,6.25,1.53,5.0,7.0,1.48,4.73,6.5,1.53,2.4,2.44,1.66,2.36,1.58,6,17,12,6,
12.0,99.0,1,1,0,2.38,3.6,2.8,2.35,3.6,2.8,2.53,3.78,3.05,2.43,3.63,2.83,1.7,2.1,2.28,1.77,2.2,1.69,5,23,12,5,
99.0,19.0,0,2,0,1.33,5.5,7.5,1.33,5.5,9.0,1.39,5.8,9.5,1.35,5.39,8.64,1.57,2.35,2.5,1.65,2.4,1.58,3,28,12,3,
9.0,99.0,2,1,0,5.25,4.5,1.55,5.5,4.1,1.58,6.2,4.5,1.62,5.74,4.29,1.57,1.73,2.08,2.16,1.83,2.1,1.76,6,31,12,6,
99.0,7.0,5,0,0,1.3,5.75,9.0,1.3,5.5,10.5,1.31,6.2,13.0,1.29,5.74,11.19,1.73,2.08,2.18,1.81,2.1,1.75,5,20,1,5,
16.0,99.0,1,2,0,7.5,5.0,1.4,7.5,5.0,1.39,8.6,5.3,1.43,8.12,5.09,1.39,1.62,2.25,2.36,1.69,2.29,1.65,1,30,1,1,
99.0,12.0,3,1,0,2.2,3.6,3.1,2.25,3.6,2.95,2.32,3.8,3.24,2.25,3.67,3.07,1.67,2.15,2.33,1.73,2.23,1.67,6,4,2,6,
19.0,99.0,0,6,0,6.0,4.33,1.53,5.5,4.2,1.57,6.4,4.6,1.59,5.81,4.38,1.55,1.67,2.15,2.29,1.73,2.22,1.67,6,11,2,6,
0.0,99.0,0,5,0,10.0,5.75,1.29,9.25,5.75,1.3,11.0,6.1,1.34,9.94,5.73,1.31,1.57,2.35,2.46,1.65,2.37,1.6,5,17,2,5,
99.0,15.0,4,1,0,1.36,5.25,8.0,1.38,5.25,7.25,1.42,5.53,8.0,1.38,5.34,7.53,1.48,2.6,2.78,1.53,2.67,1.48,5,24,2,5,
0.0,99.0,0,6,0,17.0,7.0,1.18,15.5,7.75,1.18,19.0,8.6,1.19,16.28,7.82,1.17,1.4,2.88,3.0,1.46,2.85,1.42,0,4,3,0,
99.0,4.0,2,1,0,1.22,7.0,11.0,1.23,6.75,12.0,1.27,7.3,14.0,1.23,6.84,12.02,1.44,2.7,2.86,1.48,2.78,1.44,5,9,3,5,
13.0,99.0,0,0,0,1.91,3.8,3.8,1.93,3.6,3.75,1.97,3.97,4.01,1.92,3.8,3.86,1.7,2.1,2.19,1.8,2.12,1.74,6,31,3,6,
99.0,0.0,2,0,0,1.1,10.0,19.0,1.11,10.5,21.0,1.12,13.0,32.0,1.1,11.25,22.73,1.25,4.0,4.0,1.29,3.86,1.26,2,3,4,2,
5.0,99.0,0,3,0,5.0,4.33,1.62,5.0,4.2,1.62,5.5,4.45,1.69,5.15,4.25,1.64,1.62,2.3,2.4,1.67,2.32,1.63,5,6,4,5,
99.0,2.0,0,2,0,1.29,5.75,10.0,1.28,6.0,9.75,1.31,6.5,11.0,1.28,6.1,9.89,1.5,2.63,2.8,1.52,2.66,1.48,6,14,4,6,
20.0,99.0,0,2,0,8.5,4.5,1.4,7.5,5.0,1.38,8.5,5.3,1.44,8.05,5.05,1.39,1.62,2.3,2.39,1.68,2.32,1.62,5,20,4,5,
99.0,6.0,5,0,0,1.44,5.0,6.0,1.44,4.8,6.5,1.52,5.2,7.5,1.45,4.93,6.78,1.53,2.5,2.65,1.57,2.53,1.53,1,23,4,1,
18.0,99.0,2,3,0,4.2,4.2,1.75,4.2,4.1,1.73,4.3,4.27,1.86,4.12,4.07,1.8,1.5,2.63,2.72,1.52,2.63,1.48,6,28,4,6,
99.0,3.0,3,0,0,1.22,7.5,11.0,1.2,7.25,12.5,1.23,8.2,14.0,1.2,7.59,12.74,1.33,3.4,3.4,1.38,3.23,1.34,5,4,5,5,
98.0,99.0,0,1,0,7.0,5.5,1.36,6.75,5.25,1.4,7.5,5.8,1.43,7.08,5.5,1.39,1.36,3.2,3.22,1.4,3.09,1.37,6,12,5,6,
99.0,8.0,2,1,0,1.18,8.0,12.0,1.18,7.75,14.5,1.19,8.9,17.0,1.17,8.04,15.37,1.36,3.2,3.2,1.41,3.04,1.38,6,19,5,6,
Arsenal,Man United,,,,,,,,,,,,,,,,,,,,,,3,,,,15/05/2025
