HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
99.0,8.0,0,1,0,2.0,3.5,3.75,2.05,3.5,3.6,2.13,3.6,3.96,2.06,3.46,3.77,2.0,1.8,1.93,2.1,1.84,2.0,4,23,4,4,
15.0,99.0,0,2,0,3.6,3.6,2.0,3.7,3.6,2.0,3.79,3.74,2.13,3.64,3.57,2.05,1.72,2.1,2.13,1.84,2.06,1.78,6,2,5,6,
99.0,0.0,3,1,0,1.44,4.5,7.0,1.45,4.6,7.0,1.54,4.75,7.6,1.47,4.53,7.01,1.72,2.1,2.16,1.83,2.09,1.76,6,9,5,6,
6.0,99.0,0,1,0,1.65,4.0,5.0,1.7,3.8,5.0,1.81,4.0,5.3,1.73,3.8,5.04,2.0,1.8,1.9,2.1,1.8,2.04,2,12,5,2,
7.0,99.0,1,3,0,6.0,4.5,1.5,5.75,4.4,1.55,6.5,4.64,1.58,6.14,4.41,1.53,1.72,2.1,2.21,1.79,2.13,1.74,2,19,5,2,
99.0,5.0,2,0,0,1.57,4.33,5.25,1.62,4.1,5.25,1.67,4.5,5.5,1.62,4.29,5.23,1.72,2.1,2.29,1.79,2.17,1.71,6,23,5,6,
4.0,99.0,2,0,0,4.0,3.4,1.95,4.0,3.5,1.95,4.62,3.72,2.1,4.02,3.43,2.02,2.1,1.72,1.83,2.26,1.73,2.16,4,13,8,4,
99.0,6.0,0,2,0,4.75,3.75,1.72,4.75,3.75,1.75,5.0,3.9,1.83,4.76,3.74,1.78,2.1,1.72,1.87,2.14,1.79,2.07,6,22,8,6,
13.0,99.0,5,0,0,1.25,6.0,12.0,1.25,6.25,11.5,1.3,6.6,13.7,1.26,6.16,11.99,1.57,2.37,2.52,1.64,2.45,1.57,5,28,8,5,
99.0,0.0,1,0,0,1.5,4.6,6.0,1.5,4.5,6.25,1.55,4.6,6.95,1.52,4.48,6.4,1.72,2.1,2.26,1.75,2.17,1.71,5,11,9,5,
0.0,99.0,0,1,0,3.8,3.6,1.95,3.9,3.4,2.0,4.0,3.66,2.1,3.82,3.5,2.03,2.0,1.8,1.89,2.1,1.82,2.03,5,18,9,5,
99.0,18.0,3,1,0,2.15,3.3,3.5,2.3,3.25,3.2,2.38,3.5,3.55,2.28,3.31,3.35,2.0,1.8,1.87,2.15,1.79,2.07,6,26,9,6,
5.0,99.0,0,0,0,3.0,3.25,2.4,2.95,3.2,2.5,3.2,3.34,2.6,3.05,3.22,2.5,2.0,1.8,1.86,2.12,1.8,2.06,5,2,10,5,
99.0,7.0,2,2,0,1.6,3.8,6.0,1.62,3.9,5.75,1.7,4.1,6.13,1.65,3.87,5.65,1.97,1.93,1.95,1.99,1.91,1.93,0,18,10,0,
99.0,2.0,3,1,0,1.83,3.75,4.2,1.9,3.5,4.0,2.09,3.9,4.3,1.91,3.73,4.05,1.72,2.1,2.16,1.83,2.08,1.78,4,22,10,4,
11.0,99.0,0,2,0,2.4,3.5,2.87,2.5,3.4,2.7,2.56,3.6,3.0,2.47,3.47,2.87,1.8,2.0,2.16,1.85,2.05,1.81,5,30,10,5,
99.0,0.0,1,0,0,1.36,4.75,8.5,1.4,4.75,8.0,1.43,5.25,9.0,1.39,4.9,8.25,1.57,2.37,2.48,1.64,2.38,1.6,6,7,11,6,
12.0,99.0,4,0,0,1.45,4.75,6.5,1.47,4.8,6.0,1.53,5.0,7.16,1.48,4.77,6.38,1.5,2.62,2.79,1.52,2.64,1.49,5,20,11,5,
99.0,15.0,2,0,0,1.44,4.75,7.0,1.46,5.0,6.0,1.52,5.0,7.0,1.47,4.77,6.61,1.61,2.3,2.4,1.69,2.33,1.62,5,27,11,5,
98.0,99.0,3,2,0,1.95,3.75,3.75,2.0,3.6,3.5,2.1,3.85,3.76,2.02,3.66,3.66,1.8,2.0,2.13,1.88,2.05,1.8,3,2,12,3,
8.0,99.0,2,1,0,3.4,3.5,2.1,3.2,3.5,2.2,3.62,3.7,2.26,3.38,3.52,2.16,2.06,1.84,1.87,2.13,1.81,2.04,0,6,12,0,
99.0,17.0,3,0,0,1.61,4.0,5.5,1.65,4.0,5.0,1.71,4.25,5.61,1.67,3.99,5.32,1.8,2.0,2.14,1.85,2.06,1.79,5,11,12,5,
