Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,WeekDay,Season
12/03/2023,Lecce,Torino,0,2,A,3.0,3.0,2.63,2.95,2.95,2.6,3.05,3.16,2.75,2.98,2.99,2.67,2.75,1.44,1.5,2.8,1.47,2.7,6,2022/2023
19/03/2023,Fiorentina,Lecce,1,0,H,1.6,3.75,5.75,1.62,3.9,5.5,1.68,4.0,6.3,1.62,3.84,5.86,2.1,1.73,1.8,2.16,1.75,2.1,6,2022/2023
03/04/2023,Empoli,Lecce,1,0,H,2.45,3.1,3.1,2.35,3.1,3.2,2.59,3.3,3.22,2.47,3.11,3.12,2.38,1.57,1.65,2.45,1.6,2.35,0,2022/2023
07/04/2023,Lecce,Napoli,1,2,A,5.75,3.6,1.65,5.5,3.6,1.66,6.2,3.81,1.71,5.78,3.67,1.68,2.2,1.67,1.75,2.25,1.69,2.18,4,2022/2023
16/04/2023,Lecce,Sampdoria,1,1,D,1.95,3.2,4.33,1.95,3.25,4.2,2.0,3.35,4.6,1.96,3.26,4.36,2.38,1.57,1.62,2.47,1.58,2.4,6,2022/2023
23/04/2023,Milan,Lecce,2,0,H,1.5,4.2,7.0,1.5,4.0,7.0,1.53,4.33,7.65,1.5,4.14,7.26,2.1,1.73,1.8,2.17,1.75,2.09,6,2022/2023
28/04/2023,Lecce,Udinese,1,0,H,2.45,3.0,3.2,2.4,3.1,3.1,2.58,3.2,3.27,2.49,3.08,3.16,2.5,1.53,1.62,2.52,1.57,2.43,4,2022/2023
03/05/2023,Juventus,Lecce,2,1,H,1.6,3.8,6.0,1.57,3.8,6.5,1.63,4.02,7.5,1.59,3.81,6.58,2.2,1.67,1.74,2.29,1.66,2.24,2,2022/2023
07/05/2023,Lecce,Verona,0,1,A,2.2,3.0,3.75,2.15,3.1,3.6,2.27,3.25,3.9,2.2,3.12,3.67,2.5,1.53,1.6,2.6,1.55,2.48,6,2022/2023
12/05/2023,Lazio,Lecce,2,2,D,1.7,3.5,5.5,1.7,3.5,5.5,1.75,3.72,6.0,1.72,3.57,5.52,2.3,1.62,1.63,2.43,1.6,2.36,4,2022/2023
21/05/2023,Lecce,Spezia,0,0,D,2.2,3.1,3.6,2.1,3.25,3.6,2.29,3.4,3.65,2.21,3.21,3.57,2.3,1.62,1.67,2.43,1.62,2.32,6,2022/2023
28/05/2023,Monza,Lecce,0,1,A,2.45,3.3,2.9,2.55,3.1,2.85,2.6,3.33,3.16,2.48,3.19,3.0,2.3,1.62,1.67,2.4,1.62,2.31,6,2022/2023
04/06/2023,Lecce,Bologna,2,3,A,2.75,3.5,2.45,2.7,3.25,2.6,2.85,3.56,2.63,2.76,3.37,2.58,1.99,1.94,1.95,1.99,1.88,1.93,6,2022/2023
20/08/2023,Lecce,Lazio,2,1,H,3.6,3.3,2.1,3.7,3.25,2.05,4.0,3.56,2.14,3.74,3.33,2.09,2.2,1.67,1.74,2.26,1.68,2.21,6,2023/2024
27/08/2023,Fiorentina,Lecce,2,2,D,1.57,4.2,5.75,,,,1.67,4.2,6.1,1.6,3.96,5.9,2.1,1.73,1.82,2.14,1.77,2.07,6,2023/2024
03/09/2023,Lecce,Salernitana,2,0,H,2.0,3.3,4.0,1.93,3.5,3.9,2.07,3.58,4.04,2.02,3.38,3.9,2.2,1.67,1.76,2.25,1.7,2.18,6,2023/2024
17/09/2023,Monza,Lecce,1,1,D,2.1,3.4,3.5,2.1,3.4,3.5,2.17,3.57,3.73,2.12,3.4,3.57,2.1,1.73,1.81,2.17,1.75,2.11,6,2023/2024
22/09/2023,Lecce,Genoa,1,0,H,2.45,3.2,3.1,2.45,3.1,3.1,2.54,3.22,3.32,2.46,3.11,3.17,2.3,1.62,1.65,2.51,1.6,2.37,4,2023/2024
26/09/2023,Juventus,Lecce,1,0,H,1.5,4.2,7.0,1.5,4.2,6.75,1.53,4.53,8.0,1.5,4.27,7.05,1.96,1.94,2.0,1.99,1.92,1.91,1,2023/2024
30/09/2023,Lecce,Napoli,0,4,A,4.75,3.8,1.75,4.4,3.7,1.78,5.03,3.95,1.8,4.73,3.8,1.76,2.01,1.89,1.94,2.02,1.87,1.95,5,2023/2024
06/10/2023,Lecce,Sassuolo,1,1,D,2.55,3.4,2.7,2.5,3.4,2.7,2.65,3.62,2.82,2.57,3.5,2.74,1.8,2.0,2.15,1.85,2.06,1.79,4,2023/2024
23/10/2023,Udinese,Lecce,1,1,D,2.2,3.3,3.4,2.15,3.3,3.4,2.24,3.5,3.83,2.19,3.26,3.56,2.2,1.65,1.72,2.3,1.68,2.2,0,2023/2024
28/10/2023,Lecce,Torino,0,1,A,2.75,3.0,2.8,2.65,3.0,2.8,2.85,3.12,2.94,2.77,3.02,2.85,2.5,1.5,1.57,2.66,1.53,2.54,5,2023/2024
05/11/2023,Roma,Lecce,2,1,H,1.57,3.8,6.5,1.57,3.9,6.0,1.61,4.1,6.8,1.57,3.93,6.35,2.1,1.7,1.76,2.2,1.72,2.14,6,2023/2024
11/11/2023,Lecce,Milan,2,2,D,5.0,3.6,1.75,4.75,3.5,1.78,5.33,3.86,1.78,5.08,3.68,1.74,2.08,1.73,1.8,2.19,1.75,2.1,5,2023/2024
27/11/2023,Verona,Lecce,2,2,D,2.75,3.0,2.88,2.55,3.1,2.9,2.77,3.23,3.05,2.7,3.01,2.94,2.5,1.5,1.58,2.64,1.54,2.51,0,2023/2024
03/12/2023,Lecce,Bologna,1,1,D,3.0,3.2,2.45,3.0,3.2,2.45,3.19,3.37,2.58,3.05,3.17,2.5,2.2,1.65,1.71,2.35,1.65,2.26,6,2023/2024
11/12/2023,Empoli,Lecce,1,1,D,2.55,3.2,3.0,2.45,3.3,2.9,2.6,3.49,3.01,2.5,3.28,2.92,2.08,1.73,1.83,2.14,1.77,2.07,0,2023/2024
16/12/2023,Lecce,Frosinone,2,1,H,2.15,3.3,3.5,2.15,3.4,3.4,2.21,3.58,3.62,2.15,3.41,3.5,2.08,1.82,1.88,2.08,1.83,2.02,5,2023/2024
23/12/2023,Inter,Lecce,2,0,H,1.22,7.0,11.0,1.22,6.5,13.0,1.25,7.0,17.0,1.23,6.48,13.23,1.65,2.2,2.35,1.74,2.25,1.66,5,2023/2024
30/12/2023,Atalanta,Lecce,1,0,H,1.4,4.6,8.0,1.44,4.4,7.5,1.48,4.75,9.0,1.44,4.56,7.76,1.92,1.98,2.0,1.96,1.95,1.89,5,2023/2024
06/01/2024,Lecce,Cagliari,1,1,D,2.2,3.25,3.4,2.2,3.3,3.3,2.27,3.48,3.55,2.22,3.32,3.42,2.2,1.65,1.74,2.28,1.69,2.2,5,2023/2024
14/01/2024,Lazio,Lecce,1,0,H,1.65,3.6,5.75,1.65,3.75,5.5,1.71,3.91,6.0,1.66,3.74,5.65,2.1,1.7,1.75,2.25,1.72,2.15,6,2023/2024
21/01/2024,Lecce,Juventus,0,3,A,6.0,3.5,1.65,5.75,3.4,1.7,6.5,3.82,1.71,5.95,3.64,1.65,2.35,1.57,1.66,2.42,1.59,2.36,6,2023/2024
28/01/2024,Genoa,Lecce,2,1,H,2.1,3.1,4.0,2.05,3.1,4.1,2.13,3.34,4.3,2.08,3.12,4.07,2.6,1.48,1.53,2.77,1.49,2.62,6,2023/2024
02/02/2024,Lecce,Fiorentina,3,2,H,3.75,3.2,2.1,3.6,3.25,2.1,3.87,3.42,2.18,3.71,3.3,2.13,2.15,1.67,1.75,2.25,1.7,2.18,4,2023/2024
11/02/2024,Bologna,Lecce,4,0,H,1.73,3.6,5.25,1.72,3.6,5.25,1.76,3.78,5.8,1.71,3.59,5.36,2.2,1.65,1.71,2.33,1.66,2.25,6,2023/2024
16/02/2024,Torino,Lecce,2,0,H,1.8,3.4,4.75,1.83,3.4,4.6,1.87,3.62,5.17,1.82,3.44,4.9,2.25,1.62,1.68,2.48,1.62,2.33,4,2023/2024
25/02/2024,Lecce,Inter,0,4,A,7.0,4.5,1.44,7.0,4.5,1.46,8.0,4.9,1.48,7.32,4.65,1.43,1.73,2.08,2.16,1.83,2.09,1.75,6,2023/2024
03/03/2024,Frosinone,Lecce,1,1,D,2.25,3.3,3.3,2.25,3.5,3.1,2.36,3.64,3.3,2.28,3.43,3.17,1.99,1.91,1.97,1.99,1.91,1.91,6,2023/2024
10/03/2024,Lecce,Verona,0,1,A,2.2,3.25,3.4,2.2,3.2,3.4,2.37,3.4,3.6,2.26,3.18,3.47,2.3,1.6,1.67,2.47,1.61,2.36,6,2023/2024
16/03/2024,Salernitana,Lecce,0,1,A,2.9,3.2,2.5,2.85,3.25,2.5,3.06,3.31,2.6,2.95,3.2,2.53,2.1,1.7,1.77,2.24,1.72,2.15,5,2023/2024
01/04/2024,Lecce,Roma,0,0,D,4.5,3.5,1.83,4.33,3.6,1.83,4.5,3.73,1.95,4.33,3.52,1.88,2.07,1.83,1.85,2.11,1.79,2.03,0,2023/2024
06/04/2024,Milan,Lecce,3,0,H,1.36,4.75,8.5,1.37,5.0,8.25,1.4,5.4,10.0,1.37,5.06,8.71,1.7,2.1,2.2,1.79,2.13,1.73,5,2023/2024
13/04/2024,Lecce,Empoli,1,0,H,2.25,3.1,3.6,2.2,3.1,3.6,2.32,3.2,3.79,2.25,3.09,3.63,2.3,1.62,1.68,2.39,1.63,2.3,5,2023/2024
21/04/2024,Sassuolo,Lecce,0,3,A,2.3,3.3,3.2,2.3,3.4,3.1,2.38,3.58,3.31,2.32,3.37,3.15,2.0,1.9,1.91,2.04,1.87,1.96,6,2023/2024
27/04/2024,Lecce,Monza,1,1,D,2.0,3.25,4.0,2.05,3.3,3.75,2.15,3.35,4.2,2.05,3.27,3.97,2.2,1.67,1.73,2.29,1.67,2.22,5,2023/2024
05/05/2024,Cagliari,Lecce,1,1,D,2.15,3.2,3.75,2.15,3.2,3.6,2.22,3.42,3.84,2.16,3.22,3.63,2.2,1.67,1.74,2.27,1.68,2.2,6,2023/2024
13/05/2024,Lecce,Udinese,0,2,A,2.63,3.1,2.8,2.55,3.1,2.9,2.75,3.24,3.04,2.64,3.08,2.89,2.3,1.62,1.68,2.39,1.63,2.29,0,2023/2024
18/05/2024,Lecce,Atalanta,0,2,A,4.5,3.8,1.75,4.33,3.7,1.8,4.75,3.95,1.82,4.56,3.8,1.78,1.91,1.99,2.01,1.94,1.95,1.88,5,2023/2024
26/05/2024,Napoli,Lecce,0,0,D,1.42,5.0,6.25,1.44,4.75,6.75,1.48,5.1,7.5,1.43,4.89,6.87,1.57,2.38,2.5,1.63,2.41,1.57,6,2023/2024
19/08/2024,Lecce,Atalanta,0,4,A,4.2,3.7,1.85,4.1,3.6,1.87,4.5,3.83,1.92,4.23,3.64,1.87,1.98,1.92,1.96,1.99,1.9,1.93,0,2024/2025
24/08/2024,Inter,Lecce,2,0,H,1.2,7.0,13.0,1.21,6.75,13.5,1.22,7.75,17.0,1.2,6.95,14.52,1.57,2.38,2.48,1.64,2.39,1.58,5,2024/2025
31/08/2024,Lecce,Cagliari,1,0,H,2.25,3.2,3.4,2.2,3.2,3.4,2.35,3.35,3.55,2.28,3.2,3.4,2.3,1.62,1.65,2.46,1.61,2.35,5,2024/2025
15/09/2024,Torino,Lecce,0,0,D,1.8,3.5,4.75,1.82,3.4,4.75,1.91,3.56,5.2,1.84,3.4,4.8,2.3,1.62,1.64,2.46,1.6,2.37,6,2024/2025
21/09/2024,Lecce,Parma,2,2,D,2.2,3.5,3.25,2.25,3.4,3.1,2.25,3.66,3.5,2.2,3.47,3.32,1.91,1.99,1.99,1.98,1.94,1.89,5,2024/2025
27/09/2024,Milan,Lecce,3,0,H,1.33,5.75,8.0,1.35,5.5,8.0,1.35,5.87,9.55,1.33,5.58,8.96,1.5,2.63,2.63,1.56,2.52,1.52,4,2024/2025
05/10/2024,Udinese,Lecce,1,0,H,2.2,3.3,3.3,2.2,3.25,3.3,2.3,3.48,3.55,2.24,3.3,3.39,2.1,1.73,1.78,2.22,1.72,2.15,5,2024/2025
20/10/2024,Lecce,Fiorentina,0,6,A,3.2,3.3,2.3,2.95,3.25,2.4,3.33,3.44,2.42,3.16,3.29,2.35,2.04,1.86,1.88,2.08,1.82,2.02,6,2024/2025
26/10/2024,Napoli,Lecce,1,0,H,1.25,6.0,12.0,1.31,5.5,9.75,1.32,6.0,12.0,1.29,5.62,10.86,1.73,2.1,2.2,1.8,2.12,1.74,5,2024/2025
29/10/2024,Lecce,Verona,1,0,H,2.25,3.25,3.25,2.37,3.1,3.1,2.38,3.33,3.45,2.32,3.21,3.32,2.2,1.67,1.71,2.32,1.67,2.24,1,2024/2025
02/11/2024,Bologna,Lecce,1,0,H,1.62,3.5,6.5,1.63,3.7,5.75,1.76,3.87,6.5,1.66,3.69,5.87,2.2,1.67,1.74,2.29,1.68,2.22,5,2024/2025
08/11/2024,Lecce,Empoli,1,1,D,2.4,3.0,3.3,2.4,2.95,3.3,2.53,3.0,3.53,2.44,2.93,3.4,2.75,1.44,1.5,3.0,1.46,2.74,4,2024/2025
25/11/2024,Venezia,Lecce,0,1,A,2.3,3.25,3.2,2.3,3.3,3.1,2.4,3.39,3.4,2.33,3.27,3.18,2.1,1.73,1.81,2.16,1.76,2.09,0,2024/2025
01/12/2024,Lecce,Juventus,1,1,D,5.25,3.6,1.7,5.25,3.5,1.71,6.0,3.73,1.77,5.44,3.6,1.7,2.3,1.62,1.68,2.39,1.63,2.3,6,2024/2025
07/12/2024,Roma,Lecce,4,1,H,1.57,4.0,6.25,1.55,4.0,6.0,1.6,4.2,6.5,1.57,4.03,6.2,2.0,1.8,1.83,2.09,1.81,2.03,5,2024/2025
15/12/2024,Lecce,Monza,2,1,H,2.45,3.0,3.2,2.45,3.1,3.1,2.6,3.26,3.2,2.51,3.07,3.08,2.38,1.57,1.61,2.55,1.56,2.43,6,2024/2025
21/12/2024,Lecce,Lazio,1,2,A,5.0,3.6,1.73,4.6,3.6,1.77,5.25,3.75,1.81,4.93,3.62,1.75,2.0,1.8,1.85,2.14,1.78,2.04,5,2024/2025
30/12/2024,Como,Lecce,2,0,H,1.7,3.7,5.0,1.77,3.6,4.75,1.77,3.87,5.3,1.73,3.7,4.95,2.0,1.8,1.85,2.11,1.78,2.03,0,2024/2025
05/01/2025,Lecce,Genoa,0,0,D,2.63,3.0,2.9,2.65,2.95,2.9,2.78,3.1,3.01,2.65,2.99,2.93,2.38,1.57,1.63,2.5,1.57,2.4,6,2024/2025
11/01/2025,Empoli,Lecce,1,3,A,2.0,3.1,4.33,2.05,3.1,4.0,2.12,3.25,4.33,2.04,3.12,4.13,2.5,1.53,1.6,2.55,1.55,2.45,5,2024/2025
19/01/2025,Cagliari,Lecce,4,1,H,1.95,3.3,4.1,1.93,3.4,4.0,1.99,3.66,4.25,1.95,3.44,4.03,2.05,1.85,1.88,2.1,1.82,2.0,6,2024/2025
26/01/2025,Lecce,Inter,0,4,A,9.5,5.25,1.33,8.75,5.25,1.34,11.0,5.58,1.37,9.16,5.27,1.33,1.67,2.2,2.33,1.71,2.24,1.65,6,2024/2025
31/01/2025,Parma,Lecce,1,3,A,2.15,3.4,3.5,2.15,3.3,3.4,2.22,3.52,3.64,2.15,3.4,3.45,1.86,2.04,2.07,1.9,1.99,1.84,4,2024/2025
09/02/2025,Lecce,Bologna,0,0,D,4.2,3.5,1.91,4.33,3.3,1.9,4.75,3.61,1.95,4.34,3.42,1.9,2.2,1.67,1.72,2.34,1.66,2.24,6,2024/2025
16/02/2025,Monza,Lecce,0,0,D,2.7,3.2,2.7,,,,2.81,3.35,2.8,2.73,3.13,2.74,2.3,1.62,1.69,2.38,1.63,2.31,6,2024/2025
21/02/2025,Lecce,Udinese,0,1,A,3.0,3.0,2.6,,,,3.1,3.15,2.67,2.99,3.05,2.61,2.3,1.62,1.68,2.4,1.64,2.3,4,2024/2025
28/02/2025,Fiorentina,Lecce,1,0,H,1.75,3.4,5.0,,,,1.84,3.87,5.34,1.8,3.51,4.93,2.3,1.62,1.82,2.35,1.65,2.27,4,2024/2025
08/03/2025,Lecce,Milan,2,3,A,4.75,3.6,1.75,,,,4.9,3.81,1.82,4.64,3.69,1.78,1.88,2.02,2.05,1.9,1.99,1.84,5,2024/2025
14/03/2025,Genoa,Lecce,2,1,H,2.15,2.9,4.2,,,,2.18,3.15,4.4,2.11,2.99,4.22,2.63,1.5,1.51,2.75,1.48,2.65,4,2024/2025
29/03/2025,Lecce,Roma,0,1,A,4.75,3.5,1.75,,,,5.15,3.63,1.83,4.84,3.52,1.78,2.2,1.67,1.78,2.21,1.7,2.15,5,2024/2025
06/04/2025,Lecce,Venezia,1,1,D,2.3,3.1,3.4,,,,2.41,3.3,3.53,2.33,3.06,3.41,2.3,1.62,1.66,2.42,1.61,2.33,6,2024/2025
12/04/2025,Juventus,Lecce,2,1,H,1.33,4.5,10.0,,,,1.35,5.35,11.2,1.33,4.92,10.05,1.95,1.95,1.97,1.97,1.91,1.91,5,2024/2025
19/04/2025,Lecce,Como,0,3,A,3.75,3.3,2.05,,,,3.85,3.61,2.15,3.67,3.37,2.07,2.1,1.73,1.81,2.17,1.75,2.09,5,2024/2025
27/04/2025,Atalanta,Lecce,1,1,D,1.25,6.0,11.0,,,,1.25,7.01,14.8,1.23,6.32,12.23,1.57,2.38,2.49,1.63,2.41,1.56,6,2024/2025
03/05/2025,Lecce,Napoli,0,1,A,7.0,3.8,1.55,,,,7.0,4.28,1.59,6.55,4.08,1.53,2.0,1.8,1.97,2.08,1.81,2.01,5,2024/2025
11/05/2025,Verona,Lecce,1,1,D,2.15,3.0,3.75,,,,2.45,3.15,4.0,2.22,3.03,3.72,2.2,1.67,1.7,2.4,1.64,2.25,6,2024/2025
