Date,Hour,Latitude,Longitude,Temperature,Precipitation,WeatherCode
06/02/2023,20,41.3623,-8.7367,11.4,0.0,0.0
12/02/2023,20,38.7223,-9.1393,12.7,0.0,3.0
20/02/2023,20,38.7223,-9.1393,15.2,0.0,2.0
27/02/2023,20,38.7223,-9.1393,8.9,0.0,0.0
04/03/2023,20,38.7223,-9.1393,11.4,0.0,3.0
12/03/2023,20,38.7223,-9.1393,13.8,0.0,3.0
01/04/2023,20,38.7223,-9.1393,16.5,0.0,2.0
05/04/2023,20,41.5321,-8.618,15.6,0.0,2.0
09/04/2023,20,38.7223,-9.1393,17.0,0.0,0.0
16/04/2023,20,38.7223,-9.1393,22.6,0.0,0.0
24/04/2023,20,41.4425,-8.2918,16.2,0.0,3.0
30/04/2023,20,38.7223,-9.1393,17.8,0.0,0.0
07/05/2023,20,38.7223,-9.1393,18.4,0.0,0.0
13/05/2023,20,38.7223,-9.1393,17.8,0.0,0.0
21/05/2023,20,38.7223,-9.1393,19.9,0.0,3.0
26/05/2023,20,38.7223,-9.1393,17.7,0.0,3.0
12/08/2023,20,38.7223,-9.1393,23.7,0.0,0.0
18/08/2023,20,38.7223,-9.1393,21.2,0.0,3.0
27/08/2023,20,38.7223,-9.1393,19.8,0.0,0.0
03/09/2023,20,41.5454,-8.4265,21.0,0.8,53.0
17/09/2023,20,38.7223,-9.1393,18.5,0.0,1.0
25/09/2023,20,38.7223,-9.1393,21.6,0.0,0.0
30/09/2023,20,37.0194,-7.9307,24.0,0.0,0.0
08/10/2023,20,38.7223,-9.1393,25.8,0.0,0.0
30/10/2023,20,41.1579,-8.6291,14.4,0.0,2.0
05/11/2023,20,38.7223,-9.1393,14.1,0.0,0.0
12/11/2023,20,38.7223,-9.1393,16.9,0.0,1.0
04/12/2023,20,38.7223,-9.1393,12.1,0.0,3.0
09/12/2023,20,41.4425,-8.2918,15.4,0.8,53.0
18/12/2023,20,38.7223,-9.1393,8.3,0.0,0.0
30/12/2023,20,38.7223,-9.1393,14.6,0.1,51.0
05/01/2024,20,38.7223,-9.1393,10.8,0.0,1.0
13/01/2024,20,38.7223,-9.1393,16.9,0.0,3.0
18/01/2024,20,38.7223,-9.1393,13.9,1.9,61.0
29/01/2024,20,38.7223,-9.1393,14.3,0.0,0.0
11/02/2024,20,38.7223,-9.1393,16.5,1.1,55.0
19/02/2024,20,41.3879,-8.3412,14.1,0.0,0.0
25/02/2024,20,41.3623,-8.7367,12.5,0.0,3.0
03/03/2024,20,38.7223,-9.1393,12.4,0.0,1.0
10/03/2024,20,40.9312,-8.2437,8.3,0.2,51.0
17/03/2024,20,38.7223,-9.1393,17.0,0.0,3.0
29/03/2024,20,38.7223,-9.1393,10.7,0.4,51.0
06/04/2024,20,38.7223,-9.1393,15.2,0.0,3.0
12/04/2024,20,41.5321,-8.618,18.2,0.0,3.0
16/04/2024,20,41.408,-8.5188,18.9,0.0,0.0
21/04/2024,20,38.7223,-9.1393,19.0,0.0,0.0
28/04/2024,20,41.1579,-8.6291,11.9,0.0,0.0
04/05/2024,20,38.7223,-9.1393,16.7,0.3,51.0
11/05/2024,20,38.7167,-9.3977,16.2,0.0,1.0
18/05/2024,20,38.7223,-9.1393,16.0,0.0,0.0
09/08/2024,20,38.7223,-9.1393,24.4,0.0,0.0
17/08/2024,20,32.6707,-16.9241,24.7,0.0,1.0
23/08/2024,20,37.0194,-7.9307,28.4,0.0,0.0
31/08/2024,20,38.7223,-9.1393,20.6,0.0,3.0
13/09/2024,20,40.9312,-8.2437,20.5,0.0,0.0
22/09/2024,20,38.7223,-9.1393,18.0,0.0,3.0
27/09/2024,20,38.7167,-9.3977,15.9,0.0,0.0
05/10/2024,20,38.7223,-9.1393,20.2,0.0,3.0
26/10/2024,20,41.408,-8.5188,10.7,0.0,1.0
01/11/2024,20,38.7223,-9.1393,15.3,0.1,51.0
10/11/2024,20,41.5454,-8.4265,15.2,0.0,3.0
30/11/2024,20,38.7223,-9.1393,17.5,0.0,3.0
05/12/2024,20,41.3879,-8.3412,13.5,0.0,3.0
14/12/2024,20,38.7223,-9.1393,12.8,0.0,3.0
22/12/2024,20,41.5321,-8.618,11.0,0.0,3.0
29/12/2024,20,38.7223,-9.1393,11.1,0.0,0.0
03/01/2025,20,41.4425,-8.2918,12.1,0.0,2.0
18/01/2025,20,41.3623,-8.7367,8.0,0.0,0.0
25/01/2025,20,38.7223,-9.1393,12.0,0.0,0.0
02/02/2025,20,38.7223,-9.1393,11.4,0.0,3.0
07/02/2025,20,41.1579,-8.6291,10.8,0.0,1.0
15/02/2025,20,38.7223,-9.1393,15.1,0.1,51.0
23/02/2025,20,41.363,-8.451,10.0,0.0,3.0
03/03/2025,20,38.7223,-9.1393,11.5,0.0,1.0
09/03/2025,20,38.7223,-9.1393,11.6,0.0,3.0
15/03/2025,20,38.7223,-9.1393,10.7,0.1,51.0
29/03/2025,20,38.7223,-9.1393,16.8,0.0,0.0
07/04/2025,20,38.7223,-9.1393,16.6,0.0,3.0
12/04/2025,20,37.7394,-25.6687,14.8,0.0,3.0
18/04/2025,20,38.7223,-9.1393,14.5,0.0,1.0
27/04/2025,20,41.1579,-8.6291,18.6,0.0,3.0
04/05/2025,20,38.7223,-9.1393,15.6,0.0,1.0
10/05/2025,20,38.7223,-9.1393,15.1,0.0,0.0
